normVocab,Keywords
"1,2-dichloroethane","1,2-dichloroethane"
arsenic,(?=.*(arsenic))(?!.*extract)(?!.*dissolved)|(?=.*AS-EXT)|As-Tot
atrazine,(?=.*(atrazine))(?=.*total)(?!.*de-ethyled)(?!.*de-isopropyled)
bromoxynil,bromoxynil
cadmium,(?=.*(cadmium))(?!.*extract)(?!.*dissolved)(?!.*particul)|(?=.*CD-EXT)|Cd-Tot
chla,(?=.*(CHLOROPHYLL))(?!.*CHLOROPHYLL-B)(?!.*EXTRBLE)|Chl-a
dicamba,dicamba
dichloromethane,Dichloromethane
diclofop-methyl,(?=.*(diclofop-methyl))(?=.*total)
e.coli,ESCHERICHIA|(?=.*(fecal))(?!.*strepto)|ECOLI
ethylbenzene,Ethylbenzene
fluoride,fluoride|F-Dis
lead,(?=.*(lead))(?!.*extract)(?!.*dissolved)(?!.*particulate)|(?=.*plomb)(?!.*extract)|(?=.*PB-EXT)|Pb-Tot
metolachlor,(?=.*(metolachlor))(?=.*total)
metribuzine,(?=.*(metribuzin))(?=.*total)
nitrate,(?=.*(nitrate))(?=.*total)
nitrite,nitrite
simazine,(?=.*(simazine))(?=.*total)
tn,(?=.*(nitrogen))(?=.*total)(?!.*dissolved)|(?=.*N-TOT)|TN
toluene,(?=.*(toluene))(?!.* TRICHLOROTOLUENE)
Total coliforms<U+00A0>,(?=.*(coli))(?=.*total)
tp,(?=.*(phosphorus))(?=.*total)(?!.*dissolved)|(?=.*P-T-PER)|TP
uranium,(?=.*(uranium))(?!.*extract)(?!.*dissolved)|(?=.*U-EXT)
cyanide,cyanide
